Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Advance Force	ABPF	AdvanceForce	Continuous Spell							You can Tribute 1 Level 5 or higher monster to Tribute Summon a Level 7 or higher monster.
Alchemist of Black Spells	ABPF	AlchemistofBlackSpells	Spellcaster/Effect	Wind	4	1200	1800			Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on.
Alien Brain	ABPF	AlienBrain	Normal Trap							Activate only when a Reptile-Type monster you control is destroyed by battle with an opponent's attacking monster and sent to the Graveyard. Take control of the attacking monster, and treat it as a Reptile-Type monster.
Apocatequil	ABPF	Apocatequil	Thunder/Effect	Light	4	1800	1200			While this card is face-up on the field, it is Level 5 if you control a face-up Tuner Monster. When this card on the field is destroyed and sent to the Graveyard, you can select and Special Summon 1 "Oracle of the Sun" from your Graveyard.
Ascending Soul	ABPF	AscendingSoul	Continuous Spell							Once per turn, when a Ritual Monster is Ritual Summoned, you can select and add to your hand 1 monster in your Graveyard that was Tributed for the Ritual Summon.
Battle Fader	ABPF	BattleFader	Fiend/Effect	Dark	1	0	0			When an opponent's monster declares a direct attack, you can Special Summon this card from your hand and end the Battle Phase. If you Special Summon this card with this effect, this card is removed from play when it is removed from the field.
Berfomet	ABPF	Berfomet	Fiend/Effect	Dark	5	1400	1800			When this card is Normal or Flip Summoned, you can add 1 "Gazelle the King of Mythical Beasts" from your Deck to your hand.
Bicular	ABPF	Bicular	Machine/Effect	Earth	2	200	200			When this card is destroyed by battle, you can Special Summon 1 "Unicycular" from your hand or Deck.
Black Potan	ABPF	BlackPotan	Fiend/Effect	Dark	1	200	100			If you control a face-up Tuner monster, this card cannot be destroyed by battle. When a face-up Tuner monster(s) you control is removed from the field, gain 800 Life Points.
Break! Draw!	ABPF	BreakDraw	Equip Spell							Equip only to a Machine-Type monster. When the equipped monster destroys an opponent's monster by battle and sends it to the Graveyard, draw 1 card. Destroy this card during your 3rd End Phase after activation.
Cactus Bouncer	ABPF	CactusBouncer	Plant/Effect	Earth	4	1800	300			This card cannot be Special Summoned. While a Plant-Type monster other than this card is face-up on the field, neither player can Special Summon monsters.
Call of the Reaper	ABPF	CalloftheReaper	Normal Trap							Activate only when a monster(s) is Special Summoned from your Graveyard. Select and Special Summon 1 "Supay" or 1 "Fire Ant Ascator" from your Graveyard.
Cards of Consonance	ABPF	CardsofConsonance	Normal Spell							Discard 1 Dragon-Type Tuner monster with 1000 or less ATK to draw 2 cards.
Changing Destiny	ABPF	ChangingDestiny	Normal Trap							Activate only when an opponent's monster declares an attack. Negate the attack and change it to Defense Position. It cannot change its battle position while it is face-up on the field. Then, your opponent selects and applies 1 of these effects:  Gain Life Points equal to half the ATK of the monster whose attack was negated OR Inflict damage to your opponent equal to half the ATK of the monster whose attack was negated.
Chimera the Flying Mythical Beast	ABPF	ChimeratheFlyingMythicalBeast	Beast/Fusion/Effect		6	2100	1800			When this card is destroyed, you can select and Special Summon either "Berfomet" or "Gazelle the King of Mythical Beasts" from your Graveyard.
Codarus	ABPF	Codarus	Sea Serpent/Effect	Water	4	1400	1200			You can send 1 face-up "Umi" you control to the Graveyard to select up to 2 cards your opponent controls and send them to the Graveyard.
Consecrated Light	ABPF	ConsecratedLight	Fairy/Effect	Light	1	0	0			Neither player can Normal or Special Summon DARK monsters or declare an attack with a DARK monster. This card cannot be destroyed by battle with a DARK monster, and you take no Battle Damage from that battle.
Core Blast	ABPF	CoreBlast	Continuous Trap							You can only activate this card's effect while you control a face-up "Koa'ki Meiru" monster. Once per turn, during your Standby Phase, if your opponent controls more monsters than you do, you can destroy a number of cards your opponent controls so that your opponent will control the same number of cards as you control monsters.
Core Transport Unit	ABPF	CoreTransportUnit	Continuous Spell							Once per turn, you can discard 1 card to add 1 "Iron Core of Koa'ki Meiru" from your Deck to your hand.
