Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Against the Wind	RGBT	AgainsttheWind	Normal Spell							Select 1 "Blackwing" monster in your Graveyard. Take damage equal to the ATK of the selected monster, and add it to your hand.
Alien Dog	RGBT	AlienDog	Reptile/Effect	Light	3	1500	1000			When you Normal Summon an "Alien" monster, you can Special Summon this card from your hand. When you do, place 2 A-Counters on face-up monster(s) your opponent controls.
Attack of the Cornered Rat	RGBT	AttackoftheCorneredRat	Continuous Trap							If a Level 3 or lower Normal Monster you control battles, during the Damage Step you can pay Life Points in multiples of 100. The ATK of the opponent's monster is reduced by the amount of Life Points you paid, until the End Phase. (You cannot pay more Life Points than the ATK of the opponent's monster.)
Automatic Laser	RGBT	AutomaticLaser	Normal Trap							When your opponent Normal or Special Summons a monster(s) with 1000 or more ATK, reveal 1 "Iron Core of Koa'ki Meiru" in your hand to activate this card. Destroy that Summoned monster(s).
Battlestorm	RGBT	Battlestorm	Winged Beast/Effect	Dark	4	1700	1000			This card gains 100 ATK for each face-up Winged Beast-Type monster you control. Once per turn, if you control 3 or more face-up Winged Beast-Type monsters, you can destroy 1 Spell or Trap Card your opponent controls.
Beast Striker	RGBT	BeastStriker	Beast/Effect	Earth	4	1850	400			Once per turn, you can discard 1 card to Special Summon 1 "Moja" from your Deck.
Berserking	RGBT	Berserking	Continuous Trap							Once per turn, during your Main Phase or your opponent's Battle Phase, you can select 2 face-up Beast-Type monsters on the field. Until the end of turn, 1 of the selected monsters loses half its ATK, and the other monster gains an equal amount of ATK.
Blackwing - Elphin the Raven	RGBT	BlackwingElphintheRaven	Winged Beast/Effect	Dark	6	2200	1200			If you control a face-up "Blackwing" monster, you can Normal Summoned this card without Tributing. When this card is Normal Summoned, you can change the Battle Position of 1 monster your opponent controls.
Blackwing - Kalut the Moon Shadow	RGBT	BlackwingKaluttheMoonShadow	Winged Beast/Effect	Dark	3	1400	1000		A1/T1	When a "Blackwing" monster you control attacks or is attacked, you can send this card from your hand to the Graveyard during the Damage Step to have that monster gain 1400 ATK until the End Phase.
Bone Temple Block	RGBT	BoneTempleBlock	Normal Trap							Discard 1 card. Special Summon 1 Level 4 or lower monster from your opponent's Graveyard to your side of the field, and your opponent Special Summons 1 Level 4 or lower monster from your Graveyard to your opponent's side of the field. Those monsters are destroyed during the End Phase of the next turn.
Brain Golem	RGBT	BrainGolem	Fiend/Effect	Dark	6	2500	1800			Effects of all face-up LIGHT monsters are negated. If this card destroys a LIGHT monster by battle, it can attack once again in a row.
Calming Magic	RGBT	CalmingMagic	Normal Spell							This card can only be activated at the start of Main Phase 1. During the Main Phases and Battle Phase of this turn, neither player can Summon monsters.
Chaos-End Master	RGBT	ChaosEndMaster	Warrior/Tuner/Effect	Light	3	1500	1000			When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can Special Summon 1 Level 5 or higher monster with 1600 or less ATK from your Deck.
Crimson Fire	RGBT	CrimsonFire	Counter Trap							Activate only when your opponent activates a Spell or Trap Card that inflicts damage while you control a face-up "Red Dragon Archfiend". You take no damage, and your opponent takes twice the effect damage you would have taken, instead.
Dark Verger	RGBT	DarkVerger	Plant/Effect	Earth	2	0	1000			When a Plant-Type Tuner monster is Normal Summoned to your side of the field, you can Special Summon this card from your Graveyard in Attack Position.
Deep Sea Diva	RGBT	DeepSeaDiva	Sea Serpent/Tuner/Effect	Water	2	200	400			When this card is Normal Summoned, you can Special Summon 1 Level 3 or lower Sea Serpent-Type monster from your Deck.
Delta Crow - Anti Reverse	RGBT	DeltaCrowAntiReverse	Normal Trap							Activate only while you control a face-up "Blackwing" monster. If you control exactly 3 "Blackwing" monsters, this card can be activated from your hand. Destroy all face-down Spell and Trap Cards your opponent controls.
Double Tool C&D	RGBT	DoubleToolC&D	Equip Spell							Equip only to "Power Tool Dragon" or a Level 4 or higher Machine-Type "Morphtronic" monster. While equipped: *During your turn: It gains 1000 ATK. If it attacks, the effect(s) of the attack target is negated during the Battle Phase. *During your opponent's turn: Your opponent cannot select a monster other than the equipped monster as an attack target. An opponent's monster that battles the equipped monster is destroyed at the end of the Damage Step.
