Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Monster Reborn (J)	ALT	MonsterReborn-Alt	Normal Spell						A1/T1	Special Summon 1 monster from either player's Graveyard to your side of the field.
Foolish Burial (J)	ALT	FoolishBurial-Alt	Normal Spell						A1/T1	Send 1 Monster Card from your Deck to the Graveyard.
Number 15: Gimmick Puppet - Giant Killer	JMP	U-VJ66	Machine/Xyz/Effect	Dark	*8	1500	2500		UNR	2 Level 8 monsters. Up to twice per turn, during your Main Phase 1: You can detach 1 Xyz Material from this card to target 1 Special Summoned monster your opponent controls; destroy that target, and if that target was an Xyz Monster, inflict damage to your opponent equal to its original ATK.
Hieroglyph Seal of the Dragon Deity	GOV	U-GO02	Dragon	Light	8	0	0		UNR	A sacred relic engraved with a mysterious mark. Legend holds that it seals away the power of a Dragon who was said to rival the gods themselves. Hanging beneath the golden sun for many aeons, it has come to be known as the "Sun Stone" due to its divine nature.
Ovelay Owl	GOV	U-GO03	Winged Beast/Effect	Wind	4	800	1600		UNR	Once per turn: You can pay 500 Life Points; detach 1 Xyz Material from a monster on the field.
Hammer Shark	GOV	U-GO06	Fish/Effect	Water	4	1700	1500		UNR	Once per turn, during your Main Phase: You can decrease this card's Level by 1, and Special Summon 1 Level 3 or lower WATER monster (from your hand).
Overlay Eater	GOV	U-GO07	Reptile/Effect	Light	2	300	800		UNR	During your Main Phase: You can banish this card in your Graveyard; attach 1 Xyz Material from an Xyz Monster your opponent controls to an Xyz Monster you control.
Drilling Construction Heavy Machinery: Drill Jumbo	GOV	U-GO15	Machine/Effect	Earth	4	1800	100		UNR	When this card is Normal Summoned: You can increase the Level of all Machine-Type monsters you currently control by 1. When this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks: Change it to Defense Position at the end of the Damage Step.
Roaring Express Train Rocket Arrow	GOV	U-GO16	Machine/Effect	Earth	10	5000	0		UNR	Cannot be Normal Summoned or Set. Must be Special Summoned (from your hand) when you control no cards on the field, and cannot be Special Summoned by other ways. You cannot conduct your Battle Phase the turn this card is Special Summoned. While this card is face-up on the field, you cannot activate or Set cards. During each of your Standby Phases, discard all the cards in your hand to the Graveyard or destroy this card.
Hieroglyph Dragon - Dragon Geb	GOV	U-GO19	Dragon/Effect	Light	4	1800	400		UNR	When this card destroys an opponent's monster by battle: You can Special Summon 1 Dragon-Type Normal Monster in your hand, Deck, or Graveyard but its ATK and DEF become 0. When this card is Tributed: Special Summon 1 "Hieroglyph" Normal Monster from your hand, Deck, or Graveyard.
Hieroglyph Dragon - Aset Dragon	GOV	U-GO20	Dragon/Effect	Light	5	1900	1200		UNR	You can Normal Summon this card without Tributing. If you do, this card's original ATK becomes 1000. Once per turn: You can target 1 Dragon-Type Normal Monster on the field; the Level of all face-up "Hieroglyph" monsters you control becomes the Level of that target. When this card is Tributed: You can Special Summon 1 Dragon-Type Normal Monster in your hand, Deck, or Graveyard but its ATK and DEF become 0.
Hieroglyph Dragon - Nephthe Dragon	GOV	U-GO21	Dragon/Effect	Light	5	2000	1600		UNR	You can Tribute 1 "Hieroglyph" monster you control to Special Summon this card (from your hand). Once per turn: You can Tribute 1 "Hieroglyph" monster you control or in your hand to target 1 monster your opponent controls; destroy it. When this card is Tributed: You can Special Summon 1 Dragon-Type Normal Monster in your hand, Deck, or Graveyard but its ATK and DEF become 0.
Hieroglyph Dragon - Tfeni Dragon	GOV	U-GO22	Dragon/Effect	Light	6	2100	1400		UNR	If your opponent controls a monster, and you control no monster, you can Special Summon this card (from your hand). If you do, this card cannot declare an attack this turn. When this card is Tributed: You can Special Summon 1 Dragon-Type Normal Monster in your hand, Deck, or Graveyard but its ATK and DEF become 0.
Hieroglyph Dragon - Shiyu Dragon	GOV	U-GO23	Dragon/Effect	Light	6	2200	1000		UNR	You can Special Summon this card (from your hand) by Tributing 1 face-up "Hieroglyph" monster you control. Once per turn: You can Tribute 1 "Hieroglyph" monster, except this card, you control or in your hand to target 1 Spell or Trap Card your opponent controls; destroy that target. When this card is Tributed: You can Special Summon 1 Dragon-Type Normal Monster in your hand, Deck, or Graveyard but its ATK and DEF become 0.
Hieroglyph Dragon - Usir Dragon	GOV	U-GO24	Dragon/Effect	Light	7	2600	700		UNR	You can Special Summon this card (from your hand) by banishing 1 LIGHT Dragon-Type monster and 1 Dragon-Type Normal Monster in your Graveyard. If this card is destroyed, you can Tribute 1 face-up "Hieroglyph" monster you control instead, except this card.
