Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
A Cat of Ill Omen	DR1	ACatofIllOmen	Beast/Effect	Dark	2	500	300			FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If "Necrovalley" is on the field, you can add the selected Trap Card to your hand instead.
A Deal with Dark Ruler	DR1	ADealwithDarkRuler1	Quick-Play Spell							You can only activate this card during a turn in which a Level 8 or higher monster on your side of the field was sent to the Graveyard. Special Summon 1 "Berserk Dragon" from your hand or Deck.
A Man with Wdjat	DR1	AManwithWdjat1	Spellcaster/Effect	Dark	4	1600	1600			When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.
Adhesion Trap Hole	DR1	AdhesionTrapHole	Normal Trap							You can only activate this card when your opponent successfully Normal Summons, Flip Summons, or Special Summons a monster. As long as that monster remains face-up on the field, the original ATK of that monster is halved.
Agido	DR1	Agido	Fairy/Effect	Earth	4	1500	1300			When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can special Summon a Fairy-Type monster from your Graveyard whose Level Stars are equal to the number rolled. If the result is 6, you can Special Summon a Level 6 or higher monster.
Aitsu	DR1	Aitsu	Fairy	Fire	5	100	100			He seems to be very unreliable, but he might have incredible potential.
Altar for Tribute	DR1	AltarforTribute	Normal Trap							Select 1 monster on your side of the field and send it to the Graveyard. Gain Life Points by an amount equal to the original ATK of the monster.
An Owl of Luck	DR1	AnOwlofLuck	Winged Beast/Effect	Wind	2	300	500			FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If "Necrovalley" is on the field, you can add the selected Field Spell Card to your hand instead.
Ante	DR1	Ante	Normal Spell							Each Player selects 1 card from his/her hand, then looks at the Level of the selected cards. The card with more Levels returns to the hand of the player who selected it. The player who selected the card with fewer Levels takes 1000 Life Points damage and sends the card to the Graveyard. If a non-Monster Card is selected, it is treated as Level 0. If they are the same Level, each player returns his/her card to his/her hand.
Anti-Spell	DR1	AntiSpell	Counter Trap							Remove 2 Spell Counters on your side of the field. Negate the activation of a Spell Card and destroy it.
Archfiend's Oath	DR1	ArchfiendsOath	Continuous Spell							Once per turn you can pay 500 Life Points to declare 1 card name. Pick up the top card from your Deck and if the card name is the one you declared, add it to your hand. If not, send the card you picked up to the Graveyard.
Archfiend's Roar	DR1	ArchfiendsRoar	Normal Trap							Pay 500 Life Points to activate this card. Special Summon 1 Archfiend Monster Card from your Graveyard. This monster cannot be Tributed under any conditions and is destroyed during the End Phase of this turn.
Armor Exe	DR1	ArmorExe	Rock/Effect	Light	4	2400	1400			This card cannot attack in the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. During each of your and your opponent's Standby Phases, remove 1 Spell Counter on your side of the field. If you do not do so, this card is destroyed.
Autonomous Action Unit	DR1	AutonomousActionUnit	Equip Spell							Pay 1500 Life Points. Select 1 monster from your opponent's Graveyard, Special Summon it to your side of the field in Attack Position, and equip it with this card. When this card is removed from the field, destroy the equipped monster.
Banner of Courage	DR1	BannerofCourage	Continuous Spell							During your Battle Phase, all monsters you control gain 200 ATK.
Barrel Behind The Door	DR1	BarrelBehindTheDoor	Counter Trap							You can only activate this card when an effect that inflicts damage to your Life Points is activated (except Battle Damage). Switch the Effect Damage you receive to your opponent's Life Points.
Battle Footballer	DR1	BattleFootballer	Machine	Fire	4	1000	2100			A cyborg with high defense power. Originally it was invented for a football machine.
Battle-Scarred	DR1	BattleScarred	Continuous Trap							Select 1 Archfiend monster on your side of the field when you activate this card. When the monster's controller pays Life Points during the Standby Phase for the selected monster, that player's opponent also must pay equal Life Points. If this card is destroyed or removed from the field, destroy the selected monster. When the selected monster is destroyed or removed from the field, this card is also destroyed.
Berserk Dragon	DR1	BerserkDragon	Zombie/Effect	Dark	8	3500	0			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of "A Deal with Dark Ruler". This card can attack all monsters on your opponent's side of the field once each. Decrease the ATK of this card by 500 points during the End Phase of each of your turns.
Blindly Loyal Goblin	DR1	BlindlyLoyalGoblin	Warrior/Effect	Earth	4	1800	1500			As long as this card remains face-up on the field, control of this card cannot switch.
Burning Beast	DR1	BurningBeast	Pryo/Union/Effect	Fire	4	1500	1000			Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to your "Freezing Beast" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, each time the equipped monster inflicts Battle Damage to your opponent, destroy 1 face-up Spell or Trap Card on the field. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed by battle, destroy this card instead.)
Buster Rancher	DR1	BusterRancher	Equip Spell							Only a monster with an ATK of 1000 points or less can be equipped with this card. During damage calculation, increase the ATK of the monster equipped with this card by 2500 points if the opponent's monster that battles it is in Attack Position and its ATK is 2500 or more, OR if the opponent's monster that battles it is in Defense Position and its DEF is 2500 or more.
Butterfly Dagger - Elma	DR1	ButterflyDaggerElma	Equip Spell						A0/T1	A monster equipped with this card increases its ATK by 300 points. When this card is destroyed and sent to the Graveyard while equipped to a monster, this card can be returned to the owner's hand.
Byser Shock	DR1	ByserShock	Fiend/Effect	Dark	5	800	600			When this card is Normal Summoned, Flip Summoned, or Special Summoned, return all Set cards on the field to their owner's respective hands.
Card Shuffle	DR1	CardShuffle	Continuous Spell							Pay 300 Life Points to use this card's effect. Shuffle either your or your opponent's Deck. You can only use this effect during your turn, once per turn.
Cat's Ear Tribe	DR1	CatsEarTribe	Beast-Warrior/Effect	Earth	1	200	100			During the Damage Steps of your opponent's turn, the original ATK of his/her monster(s) that attack this monster becomes 200 points.
Cestus of Dagla	DR1	CestusofDagla	Equip Spell							This card can only be equipped to Fairy-Type monsters. A monster equipped with this card increases it ATK by 500 points. When this card inflicts Battle Damage to your opponent's Life Points, gain Life Points by an equal amount.
Charm of Shabti	DR1	CharmofShabti	Rock/Effect	Earth	1	100	100			Discard this card from your hand. Until the End Phase, make the Battle Damage to monsters that include "Gravekeeper's" in their card name 0.
Checkmate	DR1	Checkmate	Normal Spell							Tribute 1 Archfiend monster on your side of the field. During this turn, 1 "Terrorking Archfiend" on your side of the field can attack your opponent's Life Points directly.
Cliff The Trap Remover	DR1	CliffTheTrapRemover	Warrior/Effect	Dark	3	1200	1000			When this card inflicts Battle Damage to your opponent's Life Points, you can select and activates 1 of the following effects ? Destroy 1 Spell Card or Trap Card on the field ? Send 2 cards from the top of your opponent's Deck to his/her Graveyard.
Cobra Jar	DR1	CobraJar	Reptile/Effect	Earth	2	600	300			FLIP: Special Summon 1 "Poisonous Snake Token" (Reptile-Type/EARTH/3 Stars/ATK 1200/DEF 1200). When the "Poisonous Snake Token" is destroyed by battle, inflict 500 damage to your opponent.
Coffin Seller	DR1	CoffinSeller	Continuous Trap							Each time Monster Card(s) are sent to your opponent's Graveyard, inflict 300 damage to your opponent.
Combination Attack	DR1	CombinationAttack	Quick-Play Spell							During a Battle Phase, you can use this effect on 1 monster that has attacked this turn and is equipped with a Union Monster. Change the Union Monster back to a monster in face-up Attack or Defense Position. Also, the monster that was equipped with the Union Monster may attack again this turn.
Continuous Destruction Punch	DR1	ContinuousDestructionPunch	Continuous Spell							When the ATK of an attacking monster on your opponent's side of the field is lower than the DEF of the attacked Defense Position monster on your side of the field destroy the attacking monster. Damage calculation is applied normally.
Contract with Exodia	DR1	ContractwithExodia	Normal Spell							Activate only when you have "Exodia the Forbidden One", "Right Arm of the Forbidden One", "Left Arm of the Forbidden One", "Right Leg of the Forbidden One", and "Left Leg of the Forbidden One" in you Graveyard. Special Summon 1 "Exodia Necross" from your hand.
Contract With The Abyss	DR1	ContractWithTheAbyss	Ritual Spell							This card is used to Ritual Summon any DARK Ritual Monster. You must also Tribute monsters from the field or your hand whose total Levels equal the Level of the Ritual Monster you are Ritual Summoning.
Contract With The Dark Master	DR1	ContractWithTheDarkMaster	Ritual Spell							This card is used to Ritual Summon "Dark Master - Zorc". You must also Tribute monsters whose total Levels equal 8 or more from the field or your hand.
Curse of Aging	DR1	CurseofAging	Normal Trap							Discard 1 card from your hand. Decrease the ATK and DEF of all monsters on your opponent's side of the field by 500 points until the end of the turn this card is activated.
Cyber Raider	DR1	CyberRaider	Machine/Effect	Dark	4	1400	1000			When this card is Normal Summoned, Flip Summoned, or Special Summoned successfully, select and activate 1 of the following effects: ? Select 1 equipped Equip Spell Card and destroy it. ? Select 1 equipped Equip Spell Card and equip it to this card.
D.D. Crazy Beast	DR1	DDCrazyBeast	Beast/Effect	Earth	3	1400	1400			A monster that this card destroys as a result of battle is removed from play.
D.D. Trainer	DR1	DDTrainer	Fiend	Dark	1	100	2000			A poor goblin that was sucked into a different dimension. However, he's doing his best with his new destiny.
Dark Cat with White Tail	DR1	DarkCatwithWhiteTail1	Beast/Effect	Earth	2	800	500			FLIP: Select 2 Monster Cards on your opponent's side of the field and 1 Monster Card on your side of the field and return them to their owners' hand.
Dark Flare Knight	DR1	DarkFlareKnight	Warrior/Fusion/Effect	Dark	6	2200	800			Dark Magician + "Flame Swordsman" Any damage to the controller of this card from battle involving this monster becomes 0. When this card is destroyed and sent to the Graveyard as a result of battle, Special Summon 1 "Mirage Knight" from your hand or Deck.
Dark Jeroid	DR1	DarkJeroid	Fiend/Effect	Dark	4	1200	1500			When this card is Normal Summoned, Flip Summoned, or Special Summoned successfully, select 1 face-up monster on the field. As long as the monster remains face-up on the field, decrease its ATK by 800 points.
Dark Scorpion - Chick the Yellow	DR1	DarkScorpionChicktheYellow	Warrior/Effect	Dark	3	1000	1000			When this card inflicts Battle Damage to your opponent's Life Points, you can select and activate 1 of the following effects: ? Return 1 card on the field to its owner's hand. ? See 1 card on the top of your opponent's Deck. Your opponent does not see the card. Then return it on the top or the bottom of your opponent's Deck.
Dark Scorpion - Gorg the Strong	DR1	DarkScorpionGorgtheStrong	Warrior/Effect	Dark	5	1800	1500			When this card inflicts Battle Damage to your opponent's Life Points, you can select and activate 1 of the following effects: ? Return 1 Monster Card on your opponent's side of the field to the top of its owner's Deck. ? Send 1 card from the top of your opponent's Deck to the Graveyard.
